,REF_DATE,GEO,Labour_characteristics,NOC,Sex,VALUE,lat,long
0,2021-01,Canada,Labour force,Total Employment,Both sexes,19887.6,,
1,2021-01,Canada,Labour force,Total Employment,Males,10508.2,,
2,2021-01,Canada,Labour force,Total Employment,Females,9379.4,,
3,2021-01,Canada,Labour force,Management occupations,Both sexes,1693.6,,
4,2021-01,Canada,Labour force,Management occupations,Males,1083.1,,
5,2021-01,Canada,Labour force,Management occupations,Females,610.5,,
6,2021-01,Canada,Labour force,Senior management occupations,Both sexes,57.1,,
7,2021-01,Canada,Labour force,Senior management occupations,Males,34.1,,
8,2021-01,Canada,Labour force,Senior management occupations,Females,23.0,,
9,2021-01,Canada,Labour force,Specialized middle management occupations -,Both sexes,594.8,,
10,2021-01,Canada,Labour force,Specialized middle management occupations -,Males,305.5,,
11,2021-01,Canada,Labour force,Specialized middle management occupations -,Females,289.3,,
12,2021-01,Canada,Labour force,Middle management occupations in retail and wholesale trade and customer services,Both sexes,513.8,,
13,2021-01,Canada,Labour force,Middle management occupations in retail and wholesale trade and customer services,Males,307.1,,
14,2021-01,Canada,Labour force,Middle management occupations in retail and wholesale trade and customer services,Females,206.7,,
15,2021-01,Canada,Labour force,"Middle management occupations in trades, transportation, production and utilities -",Both sexes,527.9,,
16,2021-01,Canada,Labour force,"Middle management occupations in trades, transportation, production and utilities -",Males,436.4,,
17,2021-01,Canada,Labour force,"Middle management occupations in trades, transportation, production and utilities -",Females,91.5,,
18,2021-01,Canada,Labour force,"Business, finance and administration occupations",Both sexes,3173.1,,
19,2021-01,Canada,Labour force,"Business, finance and administration occupations",Males,974.0,,
20,2021-01,Canada,Labour force,"Business, finance and administration occupations",Females,2199.1,,
21,2021-01,Canada,Labour force,Professional occupations in business and finance,Both sexes,934.4,,
22,2021-01,Canada,Labour force,Professional occupations in business and finance,Males,400.1,,
23,2021-01,Canada,Labour force,Professional occupations in business and finance,Females,534.3,,
24,2021-01,Canada,Labour force,Administrative and financial supervisors and administrative occupations,Both sexes,1017.1,,
25,2021-01,Canada,Labour force,Administrative and financial supervisors and administrative occupations,Males,246.2,,
